datetime,grid_id,value,date,Column_WV,Optical_Depth_055_avg,Optical_Depth_055_min,Optical_Depth_055_max,Optical_Depth_055_var,Optical_Depth_055_std,Optical_Depth_055_p95,latitude,longitude,surface,gust,sp,orog,t,heightAboveGround,u,v,sunsd,level,tozne,location,prate_max,prate_mean,cat_rain_max,cat_rain_mode
2018-02-01T08:00:00Z,3S31A,0,2018-02-01,,,,,,,,33.875,242.0,0.0,2.1999998,100817.3,59.1,299.65002,10.0,1.7049999,1.4649999,21600.0,0.0,299.75,la,0.0,0.0,0.0,0.0
2018-02-01T08:00:00Z,A2FBI,0,2018-02-01,,,,,,,,34.125,242.0,0.0,1.5999999,94985.3,587.98,297.05,10.0,1.1899999,1.51,21600.0,0.0,299.09998,la,0.0,0.0,0.0,0.0
2018-02-01T08:00:00Z,DJN0F,0,2018-02-01,,,,,,,,34.125,242.0,0.0,1.5999999,94985.3,587.98,297.05,10.0,1.1899999,1.51,21600.0,0.0,299.09998,la,0.0,0.0,0.0,0.0
2018-02-01T08:00:00Z,E5P9N,0,2018-02-01,,,,,,,,34.125,242.0,0.0,1.5999999,94985.3,587.98,297.05,10.0,1.1899999,1.51,21600.0,0.0,299.09998,la,0.0,0.0,0.0,0.0
2018-02-01T08:00:00Z,FRITQ,0,2018-02-01,,,,,,,,33.875,241.875,0.0,2.375,100938.5,48.98,298.825,10.0,1.6775,1.6025,21600.0,0.0,299.55,la,0.0,0.0,0.0,0.0
2018-02-01T08:00:00Z,H96P6,0,2018-02-01,,,,,,,,34.25,241.5,0.0,1.8,97146.1,380.3,299.0,10.0,1.1,1.58,21600.0,0.0,299.7,la,0.0,0.0,0.0,0.0
2018-02-01T08:00:00Z,PG3MI,0,2018-02-01,,,,,,,,34.125,241.875,0.0,1.725,96131.3,481.54,297.725,10.0,1.2025,1.5875,21600.0,0.0,299.22498,la,0.0,0.0,0.0,0.0
2018-02-01T08:00:00Z,QJHW4,0,2018-02-01,,,,,,,,34.375,241.5,0.0,1.4,95706.91,510.54,298.05,10.0,0.52500004,0.94000006,21600.0,0.0,300.15002,la,0.0,0.0,0.0,0.0
2018-02-01T08:00:00Z,WT52R,0,2018-02-01,,,,,,,,34.0,242.0,0.0,2.1,100266.1,106.7,300.7,10.0,1.55,1.79,21600.0,0.0,300.3,la,0.0,0.0,0.0,0.0
2018-02-01T08:00:00Z,X5DKW,0,2018-02-01,,,,,,,,34.125,242.0,0.0,1.5999999,94985.3,587.98,297.05,10.0,1.1899999,1.51,21600.0,0.0,299.09998,la,0.0,0.0,0.0,0.0
2018-02-01T08:00:00Z,ZP1FZ,0,2018-02-01,,,,,,,,34.25,242.0,0.0,1.1,89704.5,1069.26,293.4,10.0,0.83,1.23,21600.0,0.0,297.9,la,0.0,0.0,0.0,0.0
2018-02-01T08:00:00Z,ZZ8JF,0,2018-02-01,,,,,,,,33.75,242.0,0.0,2.3,101368.5,11.5,298.6,10.0,1.86,1.14,21600.0,0.0,299.2,la,0.0,0.0,0.0,0.0
2018-02-01T16:00:00Z,1X116,0,2018-02-01,,,,,,,,25.125,121.625,0.0,9.175,100536.5,157.14,286.775,10.0,-4.685,-4.3775,203.0,0.0,250.05,tp,0.000112,3.9805556e-05,1.0,1.0
