datetime,grid_id,value
2018-02-01T08:00:00Z,3S31A,11.4
2018-02-01T08:00:00Z,A2FBI,17.0
2018-02-01T08:00:00Z,DJN0F,11.1
2018-02-01T08:00:00Z,E5P9N,22.1
2018-02-01T08:00:00Z,FRITQ,29.8
2018-02-01T08:00:00Z,H96P6,12.8
2018-02-01T08:00:00Z,PG3MI,21.0
2018-02-01T08:00:00Z,QJHW4,5.2
2018-02-01T08:00:00Z,WT52R,6.5
2018-02-01T08:00:00Z,X5DKW,17.7
2018-02-01T08:00:00Z,ZP1FZ,6.2
2018-02-01T08:00:00Z,ZZ8JF,8.1
2018-02-01T16:00:00Z,1X116,12.857142857142858
2018-02-01T16:00:00Z,90BZ1,11.214285714285714
2018-02-01T16:00:00Z,9Q6TA,14.357142857142858
2018-02-01T16:00:00Z,KW43U,11.928571428571429
2018-02-01T16:00:00Z,VR4WG,12.5
2018-02-01T16:00:00Z,XJF9O,13.571428571428571
2018-02-01T16:00:00Z,XNLVD,14.23076923076923
2018-02-01T18:30:00Z,1Z2W7,142.525625
2018-02-01T18:30:00Z,90S79,139.1578947368421
2018-02-01T18:30:00Z,A7UCQ,98.3451724137931
2018-02-01T18:30:00Z,D7S1G,63.9375
2018-02-01T18:30:00Z,E2AUK,148.78235294117647
2018-02-01T18:30:00Z,GAC6R,112.57142857142857
2018-02-01T18:30:00Z,GJLB2,132.135
2018-02-01T18:30:00Z,HANW9,148.6875
2018-02-01T18:30:00Z,HM74A,154.875
2018-02-01T18:30:00Z,KZ9W9,101.30434782608695
2018-02-01T18:30:00Z,P8JA5,146.37037037037038
2018-02-01T18:30:00Z,PJNW1,78.606
2018-02-02T16:00:00Z,1X116,27.0625
2018-02-02T16:00:00Z,90BZ1,23.3125
2018-02-02T16:00:00Z,9Q6TA,23.8125
2018-02-02T16:00:00Z,KW43U,24.1875
2018-02-02T16:00:00Z,VR4WG,22.5
2018-02-02T16:00:00Z,XJF9O,23.4375
2018-02-02T16:00:00Z,XNLVD,37.8125
2018-02-02T18:30:00Z,1Z2W7,94.57411764705883
2018-02-02T18:30:00Z,90S79,121.46153846153847
2018-02-02T18:30:00Z,A7UCQ,79.65213114754098
2018-02-02T18:30:00Z,D7S1G,72.35227272727273
2018-02-02T18:30:00Z,E2AUK,132.45999999999998
2018-02-02T18:30:00Z,GJLB2,102.054375
2018-02-02T18:30:00Z,HANW9,111.42857142857143
2018-02-02T18:30:00Z,HM74A,101.73333333333333
2018-02-02T18:30:00Z,KZ9W9,86.04160714285715
2018-02-02T18:30:00Z,P8JA5,99.6875
2018-02-02T18:30:00Z,PJNW1,69.16058823529411
2018-02-03T08:00:00Z,3S31A,27.2
2018-02-03T08:00:00Z,A2FBI,18.0
2018-02-03T08:00:00Z,DJN0F,27.3
2018-02-03T08:00:00Z,E5P9N,32.3
2018-02-03T08:00:00Z,FRITQ,45.3
2018-02-03T08:00:00Z,H96P6,12.8
2018-02-03T08:00:00Z,PG3MI,20.0
2018-02-03T08:00:00Z,QJHW4,0.4
2018-02-03T08:00:00Z,WT52R,8.5
2018-02-03T08:00:00Z,X5DKW,39.1
2018-02-03T08:00:00Z,ZP1FZ,7.2
