datetime,grid_id,value,date,Column_WV,Optical_Depth_055_avg,Optical_Depth_055_min,Optical_Depth_055_max,Optical_Depth_055_var,Optical_Depth_055_std,Optical_Depth_055_p95
2018-02-01T08:00:00Z,3S31A,11.4,2018-02-01,,,,,,,
2018-02-01T08:00:00Z,A2FBI,17.0,2018-02-01,,,,,,,
2018-02-01T08:00:00Z,DJN0F,11.1,2018-02-01,,,,,,,
2018-02-01T08:00:00Z,E5P9N,22.1,2018-02-01,,,,,,,
2018-02-01T08:00:00Z,FRITQ,29.8,2018-02-01,,,,,,,
2018-02-01T08:00:00Z,H96P6,12.8,2018-02-01,,,,,,,
2018-02-01T08:00:00Z,PG3MI,21.0,2018-02-01,,,,,,,
2018-02-01T08:00:00Z,QJHW4,5.2,2018-02-01,,,,,,,
2018-02-01T08:00:00Z,WT52R,6.5,2018-02-01,,,,,,,
2018-02-01T08:00:00Z,X5DKW,17.7,2018-02-01,,,,,,,
2018-02-01T08:00:00Z,ZP1FZ,6.2,2018-02-01,,,,,,,
2018-02-01T08:00:00Z,ZZ8JF,8.1,2018-02-01,,,,,,,
2018-02-01T16:00:00Z,1X116,12.857142857142858,2018-02-01,,,,,,,
2018-02-01T16:00:00Z,90BZ1,11.214285714285714,2018-02-01,,,,,,,
2018-02-01T16:00:00Z,9Q6TA,14.357142857142858,2018-02-01,,,,,,,
2018-02-01T16:00:00Z,KW43U,11.928571428571429,2018-02-01,,,,,,,
2018-02-01T16:00:00Z,VR4WG,12.5,2018-02-01,,,,,,,
2018-02-01T16:00:00Z,XJF9O,13.571428571428571,2018-02-01,,,,,,,
2018-02-01T16:00:00Z,XNLVD,14.23076923076923,2018-02-01,,,,,,,
2018-02-01T18:30:00Z,1Z2W7,142.525625,2018-02-01,1.6974782608695655,0.43025,0.345,0.528,0.0031373571428571,0.0560121160362393,0.51435
2018-02-01T18:30:00Z,90S79,139.1578947368421,2018-02-01,1.6439473684210526,0.5460000000000002,0.414,0.658,0.0059263333333333,0.0769826820352041,0.6535
2018-02-01T18:30:00Z,A7UCQ,98.3451724137931,2018-02-01,1.7298260869565218,0.4684347826086956,0.318,0.619,0.0043591660079051,0.0660239805518051,0.5832999999999999
2018-02-01T18:30:00Z,D7S1G,63.9375,2018-02-01,1.7024583333333334,0.4675416666666667,0.333,0.545,0.004249911231884,0.0651913432281009,0.53385
2018-02-01T18:30:00Z,E2AUK,148.78235294117647,2018-02-01,1.7367826086956522,0.4776086956521739,0.408,0.557,0.0017527035573122,0.0418653025465271,0.5548000000000001
2018-02-01T18:30:00Z,GAC6R,112.57142857142856,2018-02-01,1.8115263157894732,0.4438421052631578,0.395,0.5670000000000001,0.0016973625730994,0.0411990603424327,0.5300999999999999
2018-02-01T18:30:00Z,GJLB2,132.135,2018-02-01,1.6465500000000002,0.47375,0.372,0.547,0.0017379868421052,0.0416891693621408,0.528
2018-02-01T18:30:00Z,HANW9,148.6875,2018-02-01,1.65775,0.4424,0.385,0.543,0.0022895157894736,0.047848884934486,0.52305
2018-02-01T18:30:00Z,HM74A,154.875,2018-02-01,1.7011304347826086,0.4664347826086956,0.398,0.611,0.0029403478260869,0.054224974191667,0.5661999999999999
2018-02-01T18:30:00Z,KZ9W9,101.30434782608695,2018-02-01,1.7245555555555554,0.5187222222222223,0.408,0.65,0.0038220947712418,0.0618230925402622,0.63045
2018-02-01T18:30:00Z,P8JA5,146.37037037037038,2018-02-01,1.680869565217391,0.4211333333333333,0.323,0.485,0.0016191238095238,0.0402383375591463,0.4800999999999999
2018-02-01T18:30:00Z,PJNW1,78.606,2018-02-01,1.7431304347826089,0.4391739130434783,0.333,0.56,0.0028224229249011,0.0531264804490301,0.5037
2018-02-02T16:00:00Z,1X116,27.0625,2018-02-02,,,,,,,
2018-02-02T16:00:00Z,90BZ1,23.3125,2018-02-02,,,,,,,
2018-02-02T16:00:00Z,9Q6TA,23.8125,2018-02-02,,,,,,,
2018-02-02T16:00:00Z,KW43U,24.1875,2018-02-02,,,,,,,
2018-02-02T16:00:00Z,VR4WG,22.5,2018-02-02,,,,,,,
2018-02-02T16:00:00Z,XJF9O,23.4375,2018-02-02,,,,,,,
2018-02-02T16:00:00Z,XNLVD,37.8125,2018-02-02,,,,,,,
2018-02-02T18:30:00Z,1Z2W7,94.57411764705884,2018-02-02,1.4102608695652177,0.6616956521739131,0.5740000000000001,0.724,0.0017861304347826,0.0422626363917658,0.7138
2018-02-02T18:30:00Z,90S79,121.46153846153848,2018-02-02,1.370421052631579,0.5237777777777778,0.446,0.642,0.0038238300653594,0.0618371252999318,0.62925
2018-02-02T18:30:00Z,A7UCQ,79.65213114754098,2018-02-02,1.396217391304348,0.676608695652174,0.555,0.767,0.004180885375494,0.0646597662808494,0.7591
2018-02-02T18:30:00Z,D7S1G,72.35227272727273,2018-02-02,1.372375,0.3562083333333333,0.281,0.417,0.0009274764492753,0.0304544980138461,0.4066999999999999
2018-02-02T18:30:00Z,E2AUK,132.45999999999998,2018-02-02,1.4033043478260867,0.67275,0.506,0.841,0.0058716710526315,0.0766268298485039,0.7707
2018-02-02T18:30:00Z,GJLB2,102.054375,2018-02-02,1.36845,0.42995,0.32,0.535,0.00537805,0.0733351893704516,0.5255000000000001
2018-02-02T18:30:00Z,HANW9,111.42857142857144,2018-02-02,1.3842916666666667,0.5822083333333333,0.47,0.765,0.0075284329710144,0.0867665429241853,0.7528
2018-02-02T18:30:00Z,HM74A,101.73333333333332,2018-02-02,1.3539130434782607,0.6353478260869565,0.487,0.975,0.0137380553359683,0.1172094507109745,0.9180999999999996
2018-02-02T18:30:00Z,KZ9W9,86.04160714285715,2018-02-02,1.3897222222222223,0.5962222222222223,0.494,0.741,0.0061250065359477,0.0782624209691197,0.71295
2018-02-02T18:30:00Z,P8JA5,99.6875,2018-02-02,1.3917826086956526,0.6246086956521738,0.532,0.6950000000000001,0.0023320671936758,0.0482914815850154,0.6949000000000001
2018-02-02T18:30:00Z,PJNW1,69.16058823529411,2018-02-02,1.3702608695652174,0.4740000000000001,0.342,0.659,0.0092326363636363,0.0960866086592526,0.6508
2018-02-03T08:00:00Z,3S31A,27.2,2018-02-03,,,,,,,
2018-02-03T08:00:00Z,A2FBI,18.0,2018-02-03,,,,,,,
2018-02-03T08:00:00Z,DJN0F,27.3,2018-02-03,,,,,,,
2018-02-03T08:00:00Z,E5P9N,32.3,2018-02-03,,,,,,,
2018-02-03T08:00:00Z,FRITQ,45.3,2018-02-03,,,,,,,
2018-02-03T08:00:00Z,H96P6,12.8,2018-02-03,,,,,,,
2018-02-03T08:00:00Z,PG3MI,20.0,2018-02-03,,,,,,,
2018-02-03T08:00:00Z,QJHW4,0.4,2018-02-03,,,,,,,
2018-02-03T08:00:00Z,WT52R,8.5,2018-02-03,,,,,,,
2018-02-03T08:00:00Z,X5DKW,39.1,2018-02-03,,,,,,,
2018-02-03T08:00:00Z,ZP1FZ,7.2,2018-02-03,,,,,,,
2018-02-03T08:00:00Z,ZZ8JF,6.9,2018-02-03,,,,,,,
2018-02-03T16:00:00Z,1X116,8.125,2018-02-03,0.3380416666666666,,,,,,
2018-02-03T16:00:00Z,90BZ1,8.625,2018-02-03,,,,,,,
2018-02-03T16:00:00Z,9Q6TA,10.666666666666666,2018-02-03,,,,,,,
2018-02-03T16:00:00Z,KW43U,9.0,2018-02-03,,,,,,,
2018-02-03T16:00:00Z,VR4WG,11.875,2018-02-03,,,,,,,
2018-02-03T16:00:00Z,XJF9O,9.625,2018-02-03,,,,,,,
2018-02-03T16:00:00Z,XNLVD,41.0,2018-02-03,0.7263333333333333,,,,,,
2018-02-03T18:30:00Z,1Z2W7,129.65818181818182,2018-02-03,1.0584347826086955,0.42925,0.396,0.461,0.0007109166666666,0.0266630205840723,0.4568
2018-02-03T18:30:00Z,90S79,165.14285714285714,2018-02-03,0.914157894736842,0.3776315789473685,0.268,0.47,0.0027270233918128,0.0522209095268635,0.4619
2018-02-03T18:30:00Z,A7UCQ,103.33292307692308,2018-02-03,1.0013478260869564,0.4419375,0.406,0.465,0.0003448625,0.01857047387656,0.46425
2018-02-03T18:30:00Z,D7S1G,69.67586206896551,2018-02-03,0.987125,0.2276249999999999,0.153,0.347,0.0018444184782608,0.0429466934496809,0.28285
2018-02-03T18:30:00Z,E2AUK,144.1642857142857,2018-02-03,0.9368695652173912,0.3219565217391304,0.257,0.406,0.0024044071146245,0.0490347541507501,0.3904
2018-02-03T18:30:00Z,GJLB2,147.46599999999998,2018-02-03,0.93125,0.4763,0.414,0.518,0.0005452736842105,0.0233510959959169,0.5085000000000001
